Reference, Value, Footprint, Datasheet
D2,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D11,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D23,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D1,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D14,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
C1,CP,Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P2.50mm_P5.00mm,
C2,CP,Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P2.50mm_P5.00mm,
R1,100R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R2,100R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
K4,FTR-B4,relayclock:FTR-B4_PTH,
K1,FTR-B4,relayclock:FTR-B4_PTH,
K2,FTR-B4,relayclock:FTR-B4_PTH,
K3,FTR-B4,relayclock:FTR-B4_PTH,
K5,FTR-B4,relayclock:FTR-B4_PTH,
J8,Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
J9,Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,
J1,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J2,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J3,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J4,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J5,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J6,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J7,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
K6,FTR-B4,relayclock:FTR-B4_PTH,
K7,FTR-B4,relayclock:FTR-B4_PTH,
D3,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D4,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
J12,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J10,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
JP1,Jumper,Jumper:SolderJumper_01x02,
JP2,Jumper,Jumper:SolderJumper_01x02,
JP3,Jumper,Jumper:SolderJumper_01x02,
JP4,Jumper,Jumper:SolderJumper_01x02,
J11,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
D5,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D7,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D9,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D12,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D15,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D17,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D19,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D21,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D24,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D26,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D28,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D30,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D32,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D34,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D36,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D38,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D40,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D42,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D44,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D46,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D48,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D50,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D52,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D53,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D54,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D55,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D56,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D6,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D8,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D10,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D13,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D16,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D18,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D20,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D22,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D25,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D27,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D29,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D31,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D33,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D35,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D37,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D39,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D41,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D43,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D45,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D47,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D49,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D51,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
