Reference, Value, Footprint, Datasheet
R2,2k5,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
RV1,20k,,
R1,1k8,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
C1,10u,Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P2.50mm_P5.00mm,
C2,100u,Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P2.50mm_P5.00mm,
U1,AP1117-ADJ,TO_SOT_Packages_SMD:SOT-223-3_TabPin2,
SW1,SW_Push,Button_Switch_THT:SW_PUSH_6mm,
SW2,SW_Push,Button_Switch_THT:SW_PUSH_6mm,
D1,LED,LED_SMD:LED_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D3,LED,LED_SMD:LED_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D5,LED,LED_SMD:LED_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D6,LED,LED_SMD:LED_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D4,LED,LED_SMD:LED_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
D2,LED,LED_SMD:LED_0805_2012Metric_Pad0.97x1.50mm_HandSolder,
Q5,Q_NMOS_DSG,Package_TO_SOT_SMD:SOT-23,
Q6,Q_NMOS_DSG,Package_TO_SOT_SMD:SOT-23,
J2,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J4,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
K1,FTR-B4,relayclock:FTR-B4_PTH,
K2,FTR-B4,relayclock:FTR-B4_PTH,
K3,FTR-B4,relayclock:FTR-B4_PTH,
J1,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J3,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
K4,FTR-B4,relayclock:FTR-B4_PTH,
Q1,Q_NMOS_GSD,Package_TO_SOT_SMD:SOT-23,
Q2,Q_NMOS_GSD,Package_TO_SOT_SMD:SOT-23,
Q3,Q_NMOS_GSD,Package_TO_SOT_SMD:SOT-23,
Q4,Q_NMOS_GSD,Package_TO_SOT_SMD:SOT-23,
