Reference, Value, Footprint, Datasheet
R1,220R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
R2,R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
D3,LED,LED_THT:LED_D3.0mm,
JP4,Jumper,Jumper:SolderJumper_01x02,
JP5,Jumper,Jumper:SolderJumper_01x02,
J1,Conn_01x07,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,
J2,Conn_01x07,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,
K1,FTR-B4,relayclock:FTR-B4_PTH,
K3,FTR-B4,relayclock:FTR-B4_PTH,
K2,FTR-B4,relayclock:FTR-B4_PTH,
J3,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
D1,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D2,D,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp,
D6,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D7,D,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp,
D5,D,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
D4,D,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp,
D8,D,Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp,
J4,Conn_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
JP1,Jumper,Jumper:SolderJumper_01x02,
JP2,Jumper,Jumper:SolderJumper_01x02,
JP3,Jumper,Jumper:SolderJumper_01x02,
